Title,Reqt Num,Para Num,Requirement Name,Description,Verif Meth,cat1,Verif_Status
01) Range Requirements,RCC-001,3.2.1.1,Flight Termination Dispersion,"Ensure the monoprop  flight-terminated vehicle’s debris impact, resulting from residual lift or drift under worst-case wind conditions, will not endanger any protected area. When termination is initiated, it shall be irrevocable.",Demo;,Blk I,Open
01) Range Requirements,RCC-002,3.2.1.2,FTS Functional Requirements/2,Render each propulsion system that has the capability of reaching a protected area incapable of propulsion. This includes each stage and any strap-on motor or propulsion system that is part of any payload.,Demonstration,Blk I,Open
01) Range Requirements,RCC-003,3.2.1.4,FTS Functional Requirements/3,Terminate the flight of any inadvertently or prematurely separated propulsion system capable of reaching a protected area.,Demonstration,Blk I,Open
01) Range Requirements,RCC-004,3.2.1.5,FTS Functional Requirements/4,Destroy the pressure integrity of any solid-propellant system and terminate all thrust or ensure that any residual thrust causes the propulsion system to tumble without significant lateral or longitudinal deviation in the impact point.,Demonstration,Blk I,Open
01) Range Requirements,RCC-005,3.2.1.6,FTS Functional Requirements/5,"Disperse any liquid propellant, whether by rupturing the propellant tank or other equivalent method. Shutdown and/or parachute systems may be used in lieu of rupturing propellant tanks if the risk posed by an intact impact is acceptable. Acceptability of shutdown-only systems will be range- and vehicle-dependent.",Demonstration,Blk I,Open
01) Range Requirements,RCC-006,3.2.1.11,FTS Functional Requirements/6,Result in aerodynamic control surface manipulation that makes a vehicle unable to glide or auto-rotate. These types of termination systems shall demonstrate that any residual lift or drift under worst-case wind conditions will not result in the flight-terminated vehicle endangering any protected area.,Analysis,Blk I,Open
01) Range Requirements,RCC-007,3.2.1.14,FTS Functional Requirements/7,The FTS terminate action shall not detonate solid or liquid propellant.,Demonstration,Blk I,Open
01) Range Requirements,RCC-008,3.2.1.15,FTS Functional Requirements/8,The termination action shall ensure that solid rocket motor propellant is fractured into small enough fragments to prevent unacceptable personnel risks due to blast effects upon ground detonation.,Demonstration,Blk I,Open
01) Range Requirements,RCC-009,3.2.1.17,FTS Functional Requirements/9,"For multiple-stage vehicles, the flight termination of one propulsion system shall not interfere with the flight termination of any other propulsion system.",Demonstration,Blk I,Open
01) Range Requirements,RCC-010,3.2.1.18,FTS Functional Requirements/10,"An FTS determination analysis shall be performed for payloads and upper stages of expendable launch vehicles during ascent. It will determine whether an FTS, and what type of flight termination action, is required on any stage of an RV for the ascent and re-entry phases of flight.",Demonstration,Blk I,Open
01) Range Requirements,RCC-011,3.2.1.22,FTS Functional Requirements/11,"For re-entry, the RV will be required to have an FTS designed with the purpose of placing the vehicle into a zero-lift/zero-thrust ballistic re-entry state and mitigate the consequences of any impact to the maximum extent practicable. Consequence mitigation may include dispersing large quantities of liquid propellants if on board, fragmenting solid propellants to eliminate or mitigate explosive potential on impact, and breaking up components to maximize aero-thermal demise.",Demonstration,Blk I,Open
